JobID|JobName|Partition|NodeList|ReqMem|AllocCPUS|Elapsed|State
11716780_7|LSSboost_openml|zen5_mpi|node712|60G|1|00:22:47|FAILED
11716780_8|LSSboost_openml|zen5_mpi|node712|60G|1|00:08:08|FAILED
11716780_9|LSSboost_openml|zen5_mpi|node700|60G|1|00:09:57|FAILED
11716780_10|LSSboost_openml|zen5_mpi|node712|60G|1|01:02:08|CANCELLED by 2510528
11716780_11|LSSboost_openml|zen5_mpi|node715|60G|1|00:14:29|FAILED
11716780_12|LSSboost_openml|zen5_mpi|node718|60G|1|00:08:16|FAILED
11716780_13|LSSboost_openml|zen5_mpi|node701|60G|1|00:58:27|CANCELLED by 2510528
11716780_14|LSSboost_openml|zen5_mpi|node706|60G|1|00:09:55|FAILED
11716780_15|LSSboost_openml|zen5_mpi|node706|60G|1|00:29:06|FAILED
11716780_16|LSSboost_openml|zen5_mpi|node743|60G|1|00:10:17|FAILED
11716780_17|LSSboost_openml|zen5_mpi|node743|60G|1|00:05:10|FAILED
11716780_18|LSSboost_openml|zen5_mpi|node742|60G|1|00:55:17|CANCELLED by 2510528
11716781_0|LSSboost_openml|zen5_mpi|node712|60G|1|00:08:43|FAILED
11716781_1|LSSboost_openml|zen5_mpi|node740|60G|1|00:14:57|FAILED
11716781_2|LSSboost_openml|zen5_mpi|node700|60G|1|00:10:02|FAILED
11716781_3|LSSboost_openml|zen5_mpi|node703|60G|1|00:05:44|FAILED
11716781_4|LSSboost_openml|zen5_mpi|node718|60G|1|00:11:34|FAILED
11716781_5|LSSboost_openml|zen5_mpi|node743|60G|1|00:13:01|FAILED
11716781_6|LSSboost_openml|zen5_mpi|node706|60G|1|00:14:55|FAILED
11716781_7|LSSboost_openml|zen5_mpi|node743|60G|1|00:26:38|FAILED
11716781_8|LSSboost_openml|zen5_mpi|node703|60G|1|00:06:26|FAILED
11716781_9|LSSboost_openml|zen5_mpi|node740|60G|1|00:14:37|FAILED
11716781_10|LSSboost_openml|zen5_mpi|node742|60G|1|00:45:57|CANCELLED by 2510528
11716781_11|LSSboost_openml|zen5_mpi|node712|60G|1|00:13:48|FAILED
11716781_12|LSSboost_openml|zen5_mpi|node715|60G|1|00:06:32|FAILED
11716781_13|LSSboost_openml|zen5_mpi|node712|60G|1|00:42:16|CANCELLED by 2510528
11716781_14|LSSboost_openml|zen5_mpi|node700|60G|1|00:10:26|FAILED
11716781_15|LSSboost_openml|zen5_mpi|node718|60G|1|00:35:21|FAILED
11716781_16|LSSboost_openml|zen5_mpi|node703|60G|1|00:07:55|FAILED
11716781_17|LSSboost_openml|zen5_mpi|node703|60G|1|00:04:47|FAILED
11716781_18|LSSboost_openml|zen5_mpi|node703|60G|1|00:38:35|CANCELLED by 2510528
11716783_0|LSSboost_openml|zen5_mpi|node715|60G|1|00:07:01|FAILED
11716783_1|LSSboost_openml|zen5_mpi|node740|60G|1|00:13:35|FAILED
11716783_2|LSSboost_openml|zen5_mpi|node743|60G|1|00:09:17|FAILED
11716783_3|LSSboost_openml|zen5_mpi|node703|60G|1|00:05:13|FAILED
11716783_4|LSSboost_openml|zen5_mpi|node713|60G|1|00:07:42|FAILED
11716783_5|LSSboost_openml|zen5_mpi|node706|60G|1|00:09:16|FAILED
11716783_6|LSSboost_openml|zen5_mpi|node700|60G|1|00:11:49|FAILED
11716783_7|LSSboost_openml|zen5_mpi|node712|60G|1|00:15:59|FAILED
11716783_8|LSSboost_openml|zen5_mpi|node715|60G|1|00:06:18|FAILED
